artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0331-05D;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 250 BAR TWIN;Hansaflex;NYZ 108;250;17002-05;10;18,1;;;;;;;;;;;;;;;;;;;;;;
0331-06;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 225 BAR;Hansaflex;NY110;225;17002-06;10;19,5;;;;;;;;;;;;;;;;;;;;;;
0331-06D;THERMOPLASTIC MEDIUM PRESSURE (3/8) DN10 W.P. 225 BAR TWIN;Hansaflex;NYZ110;225;17002-06;10;19,5;;;;;;;;;;;;;;;;;;;;;;
0331-08;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR;Hansaflex;NY 113;180;17002-08;10;22,4;;;;;;;;;;;;;;;;;;;;;;
0331-08C02;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR;Calseyde;0505-SB1-CO2DN12;180;17002-08;10;22,4;;;;;;;;;;;;;;;;;;;;;;
0331-08D;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR TWIN;Hansaflex;NYZ 113;180;17002-08;10;22,4;;;;;;;;;;;;;;;;;;;;;;
0334-03;THERMOPLASTIC MEDIUM PRESS PAINT (3/16) DN05 W.P. 360 BAR;Dicsa;MT099003;360;17002-03;10;13,5;;;;;;;;;;;;;;;;;;;;;;
0334-04;THERMOPLASTIC MEDIUM PRESS PAINT (1/4) DN06 W.P. 310 BAR;Dicsa;MT099004;310;17002-04;10;15,4;;;;;;;;;;;;;;;;;;;;;;
0334-06;THERMOPLASTIC MEDIUM PRESS PAINT (3/8) DN10 W.P. 240 BAR;Parker;2040N-06V02;240;17002-06;10;19,5;;;;;;;;56;17,4;32;;;;;;;;;;;;
0347-02;THERMOPLASTIC MEDIUM PRESSURE (1/8) DN03 W.P. 210 BAR;Parker;347-2;210;17001-02;10;8,9;;;;;;;;;;;;;;;;;;;;;;
